LNG,LAT,Name,Sex,Person
4.827589,52.347284,Aletta Jacobslaan,F,Alleta Jacobs
4.867249,52.370211,Elisabeth Wolffstraat,F,Betje Wolff
4.869568,52.352883,Emmastraat,F,Adelheid Emma Wilhelmina Theresia van Waldeck-Pyrmont
4.871948,52.346653,Minervaplein,F,Romeinse godin van verstand en geest
4.876817,52.342964,Prinses Irenestraat,F,Irene Emma Elisabeth
4.926065,52.367972,1e Coehoornstraat,M,Menno van Coehoorn
4.874571,52.362531,1e Constantijn Huygensstraat,M,Constantijn Huygens
4.924415,52.361272,1e van Swindenstraat,M,Jean Henri van Swinden
4.894218,52.353148,2e v.d. Helststraat,M,Bartholomeus van der Helst
4.868611,52.331389,A.J. Ernststraat ,M,Arent Janszoon Ernst van Bassen
4.86056,52.371378,Adm. de Ruijterweg/Jan Evertsenstraat,M,Admiraal Michiel Adriaenszoon de Ruyter
4.844189,52.369411,Adm. Helfrichstraat,M,Conrad Emile Lambert Helfrich
4.889594,52.354852,Albert Cuypstraat,M,Albert Cuyp
4.918613,52.363328,Alexanderplein,M,Alexander van Oranje-Nassau 
4.904251,52.349035,J. Israëlskade,M,Jozef Israëls
4.879053,52.351067,Apollolaan,M,Griekse God Apollo
4.794798,52.350964,Baden Powellweg,M,Robert Baden-Powell
4.872773,52.367404,Bilderdijkstraat,M,Willem Bilderdijk
4.826074,52.380719,Burg. Eliasstraat,M,David Willem Elias
4.831512,52.379867,Burg. Fockstraat,M,Cornelis Fock
4.826807,52.37448,Burg. Rendorpstraat,M,Joachim Rendorp
4.818771,52.3749,Burg. Roëllstraat,M,Antonie Röell
4.835554,52.373117,Burg. v.d. Pollstraat,M,Frederik van de Poll
4.812465,52.376407,Burg. van Leeuwenlaan,M,Wilhelmus Frederik van Leeuwen
4.913662,52.358331,Camperstraat,M,Petrus Camper
4.870744,52.355991,Cornelis Schuytstraat,M,Cornelis Schuyt
4.891588,52.350867,Cornelis Troostplein,M,Cornelis Troost
4.929434,52.361,Dapperstraat,M,Olfert Dapper
4.86883,52.33426,de Boelelaan Vu,M,Gerrit de Boele
4.870429,52.370569,de Clercqstraat,M,Willem de Clercq
4.85776,52.377298,De Rijpstraat,M,Jan Corneliszoon Rijp
4.838056,52.379444,De Vlugtlaan (metrostation),M,Willem de Vlugt
4.877123,52.383149,De Wittenkade,M,Cornelis en Johan de Wit
4.839977,52.357934,Derkinderenstraat,M,Antonius Johannes (Antoon) Derkinderen
